TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2019-W01;CH033;Y0T4;T;;2
2019-W01;CH033;Y0T4;F;;1
2019-W01;CH033;Y0T4;M;;1
2019-W01;CH033;Y35T39;T;;1
2019-W01;CH033;Y35T39;F;;1
2019-W01;CH033;Y40T44;T;;1
2019-W01;CH033;Y40T44;M;;1
2019-W01;CH033;Y55T59;T;;1
2019-W01;CH033;Y55T59;M;;1
2019-W01;CH033;Y60T64;T;;4
2019-W01;CH033;Y60T64;M;;4
2019-W01;CH033;Y65T69;T;;1
2019-W01;CH033;Y65T69;F;;1
2019-W01;CH033;Y70T74;T;;11
2019-W01;CH033;Y70T74;F;;3
2019-W01;CH033;Y70T74;M;;8
2019-W01;CH033;Y75T79;T;;13
2019-W01;CH033;Y75T79;F;;9
2019-W01;CH033;Y75T79;M;;4
2019-W01;CH033;Y80T84;T;;11
2019-W01;CH033;Y80T84;F;;5
2019-W01;CH033;Y80T84;M;;6
2019-W01;CH033;Y85T89;T;;23
2019-W01;CH033;Y85T89;F;;11
2019-W01;CH033;Y85T89;M;;12
2019-W01;CH033;Y_GE90;T;;19
2019-W01;CH033;Y_GE90;F;;15
2019-W01;CH033;Y_GE90;M;;4
2019-W01;CH040;_T;T;;227
2019-W01;CH040;_T;F;;115
2019-W01;CH040;_T;M;;112
2019-W01;CH040;Y0T4;T;;1
2019-W01;CH040;Y0T4;F;;1
2019-W01;CH040;Y15T19;T;;1
2019-W01;CH040;Y15T19;M;;1
2019-W01;CH040;Y20T24;T;;1
2019-W01;CH040;Y20T24;M;;1
2019-W01;CH040;Y25T29;T;;1
2019-W01;CH040;Y25T29;F;;1
2019-W01;CH040;Y35T39;T;;2
2019-W01;CH040;Y35T39;F;;1
2019-W01;CH040;Y35T39;M;;1
2019-W01;CH040;Y40T44;T;;2
2019-W01;CH040;Y40T44;F;;2
2019-W01;CH040;Y45T49;T;;4
2019-W01;CH040;Y45T49;F;;2
2019-W01;CH040;Y45T49;M;;2
2019-W01;CH040;Y50T54;T;;4
2019-W01;CH040;Y50T54;F;;4
2019-W01;CH040;Y55T59;T;;7
2019-W01;CH040;Y55T59;F;;2
2019-W01;CH040;Y55T59;M;;5
2019-W01;CH040;Y60T64;T;;7
2019-W01;CH040;Y60T64;F;;2
2019-W01;CH040;Y60T64;M;;5
2019-W01;CH040;Y65T69;T;;17
2019-W01;CH040;Y65T69;F;;10
2019-W01;CH040;Y65T69;M;;7
2019-W01;CH040;Y70T74;T;;12
2019-W01;CH040;Y70T74;F;;3
2019-W01;CH040;Y70T74;M;;9
2019-W01;CH040;Y75T79;T;;34
2019-W01;CH040;Y75T79;F;;13
2019-W01;CH040;Y75T79;M;;21
2019-W01;CH040;Y80T84;T;;40
2019-W01;CH040;Y80T84;F;;17
2019-W01;CH040;Y80T84;M;;23
2019-W01;CH040;Y85T89;T;;37
2019-W01;CH040;Y85T89;F;;18
2019-W01;CH040;Y85T89;M;;19
2019-W01;CH040;Y_GE90;T;;57
2019-W01;CH040;Y_GE90;F;;39
2019-W01;CH040;Y_GE90;M;;18
2019-W01;CH051;_T;T;;13
2019-W01;CH051;_T;F;;7
2019-W01;CH051;_T;M;;6
2019-W01;CH051;Y70T74;T;;2
2019-W01;CH051;Y70T74;F;;1
2019-W01;CH051;Y70T74;M;;1
2019-W01;CH051;Y75T79;T;;6
2019-W01;CH051;Y75T79;F;;2
2019-W01;CH051;Y75T79;M;;4
2019-W01;CH051;Y80T84;T;;1
2019-W01;CH051;Y80T84;M;;1
2019-W01;CH051;Y85T89;T;;2
2019-W01;CH051;Y85T89;F;;2
2019-W01;CH051;Y_GE90;T;;2
2019-W01;CH051;Y_GE90;F;;2
2019-W01;CH052;_T;T;;17
2019-W01;CH052;_T;F;;8
2019-W01;CH052;_T;M;;9
2019-W01;CH052;Y55T59;T;;1
2019-W01;CH052;Y55T59;F;;1
2019-W01;CH052;Y60T64;T;;1
2019-W01;CH052;Y60T64;F;;1
2019-W01;CH052;Y65T69;T;;1
2019-W01;CH052;Y65T69;M;;1
2019-W01;CH052;Y70T74;T;;1
2019-W01;CH052;Y70T74;M;;1
2019-W01;CH052;Y75T79;T;;5
2019-W01;CH052;Y75T79;F;;1
2019-W01;CH052;Y75T79;M;;4
2019-W01;CH052;Y80T84;T;;2
2019-W01;CH052;Y80T84;F;;1
2019-W01;CH052;Y80T84;M;;1
2019-W01;CH052;Y85T89;T;;1
2019-W01;CH052;Y85T89;F;;1
2019-W01;CH052;Y_GE90;T;;5
2019-W01;CH052;Y_GE90;F;;3
2019-W01;CH052;Y_GE90;M;;2
2019-W01;CH053;_T;T;;9
2019-W01;CH053;_T;F;;2
2019-W01;CH053;_T;M;;7
2019-W01;CH053;Y55T59;T;;1
2019-W01;CH053;Y55T59;M;;1
2019-W01;CH053;Y75T79;T;;1
2019-W01;CH053;Y75T79;M;;1
2019-W01;CH053;Y85T89;T;;2
2019-W01;CH053;Y85T89;M;;2
2019-W01;CH053;Y_GE90;T;;5
2019-W01;CH053;Y_GE90;F;;2
2019-W01;CH053;Y_GE90;M;;3
2019-W01;CH054;_T;T;;2
2019-W01;CH054;_T;F;;1
2019-W01;CH054;_T;M;;1
2019-W01;CH054;Y70T74;T;;1
2019-W01;CH054;Y70T74;M;;1
2019-W01;CH054;Y85T89;T;;1
2019-W01;CH054;Y85T89;F;;1
2019-W01;CH055;_T;T;;92
2019-W01;CH055;_T;F;;48
2019-W01;CH055;_T;M;;44
2019-W01;CH055;Y45T49;T;;2
2019-W01;CH055;Y45T49;F;;1
