TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W23;CH065;Y70T74;F;P;1
2020-W23;CH065;Y70T74;M;P;1
2020-W23;CH065;Y75T79;T;P;1
2020-W23;CH065;Y75T79;F;P;1
2020-W23;CH065;Y85T89;T;P;2
2020-W23;CH065;Y85T89;F;P;1
2020-W23;CH065;Y85T89;M;P;1
2020-W23;CH066;_T;T;P;9
2020-W23;CH066;_T;F;P;7
2020-W23;CH066;_T;M;P;2
2020-W23;CH066;Y70T74;T;P;2
2020-W23;CH066;Y70T74;F;P;2
2020-W23;CH066;Y75T79;T;P;2
2020-W23;CH066;Y75T79;F;P;1
2020-W23;CH066;Y75T79;M;P;1
2020-W23;CH066;Y80T84;T;P;1
2020-W23;CH066;Y80T84;M;P;1
2020-W23;CH066;Y85T89;T;P;3
2020-W23;CH066;Y85T89;F;P;3
2020-W23;CH066;Y_GE90;T;P;1
2020-W23;CH066;Y_GE90;F;P;1
2020-W23;CH070;_T;T;P;49
2020-W23;CH070;_T;F;P;29
2020-W23;CH070;_T;M;P;20
2020-W23;CH070;Y45T49;T;P;1
2020-W23;CH070;Y45T49;M;P;1
2020-W23;CH070;Y50T54;T;P;1
2020-W23;CH070;Y50T54;F;P;1
2020-W23;CH070;Y55T59;T;P;2
2020-W23;CH070;Y55T59;F;P;1
2020-W23;CH070;Y55T59;M;P;1
2020-W23;CH070;Y60T64;T;P;3
2020-W23;CH070;Y60T64;F;P;2
2020-W23;CH070;Y60T64;M;P;1
2020-W23;CH070;Y65T69;T;P;6
2020-W23;CH070;Y65T69;F;P;3
2020-W23;CH070;Y65T69;M;P;3
2020-W23;CH070;Y70T74;T;P;3
2020-W23;CH070;Y70T74;F;P;1
2020-W23;CH070;Y70T74;M;P;2
2020-W23;CH070;Y75T79;T;P;5
2020-W23;CH070;Y75T79;F;P;3
2020-W23;CH070;Y75T79;M;P;2
2020-W23;CH070;Y80T84;T;P;7
2020-W23;CH070;Y80T84;F;P;4
2020-W23;CH070;Y80T84;M;P;3
2020-W23;CH070;Y85T89;T;P;9
2020-W23;CH070;Y85T89;F;P;6
2020-W23;CH070;Y85T89;M;P;3
2020-W23;CH070;Y_GE90;T;P;12
