land,datum,uhrzeit,postleitzahl,stadt,treffpunkt,protestform,livestream,latitude,longitude
DE,2020-11-07,14:30:00,26382,Wilhelmshaven,Pacific Cafe,Spaziergang,,37.7798428,-122.4946117
DE,2020-11-07,15:30:00,24568,Kaltenkirchen,Park ggü. Rathaus,Sonstiges,,53.84131405,9.958796139197192
DE,2020-11-09,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair,48.13736145,11.574172059316222
DE,2020-11-09,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,,50.93525555,6.9276249955832565
DE,2020-11-11,11:00:00,14195,Berlin,Finkenstraße 21,Flashmob,,52.4653907,13.2795815
DE,2020-11-13,19:00:00,4668,Grimma,Marktplatz,Spaziergang,,51.2607361,12.8883784
DE,2020-11-14,14:00:00,10117,Berlin,Am Kupfergraben 6,Flashmob,,52.5201855,13.3952703
DE,2020-11-16,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair,48.13736145,11.574172059316222
DE,2020-11-16,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,,50.93525555,6.9276249955832565
DE,2020-11-23,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair,48.13736145,11.574172059316222
DE,2020-11-23,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,,50.93525555,6.9276249955832565
DE,2020-11-30,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair,48.13736145,11.574172059316222
DE,2020-11-30,17:45:00,50674,Köln,Aachener Weiher,Mahnwache,,50.93525555,6.9276249955832565
AT,2020-12-06,17:00:00,4020,Linz,Hauptplatz,Kundgebung,,48.3050286,14.2871388
DE,2020-12-07,17:00:00,80331,München,Max Joseph Platz/vor der Oper,Meditation,http://www.mbsr-muenchen.net/openair,48.1353885,11.580827978671106
DE,2020-12-14,17:00:00,80331,München,Marienplatz,Meditation,http://www.mbsr-muenchen.net/openair,48.13736145,11.574172059316222
DE,2020-12-24,12:00:00,10178,Berlin,Weltzeituhr/Alexanderplatz,Charity,https://demo.stream/anonymous,52.5205535,13.4225552
DE,2020-12-31,15:00:00,10117,Berlin,Straße des 17. Juni,Kundgebung,,52.5161603,13.3767938
DE,2021-06-20,16:30:00,94315,Straubing,Ludwigsplatz,Mahnwache,,48.8820981,12.5738356
